one,two,three,four
30,45,94,55
28,8,30,3
63,42,32,13
33,96,78,26
52,36,9,67
74,8,85,82
84,18,15,19
54,87,59,79
27,8,98,73
40,31,44,89
50,70,40,1
68,46,3,83
8,48,23,70
64,19,8,34
98,43,58,47
24,40,44,28
90,45,65,91
2,6,2,18
23,47,62,94
14,60,46,83
49,89,1,45
97,43,21,74
55,94,4,44
36,40,81,73
0,55,29,58
95,44,35,90
91,90,13,18
93,4,57,64
15,17,45,4
76,74,47,48
33,19,71,94
75,90,39,11
57,54,64,48
22,12,94,51
76,54,48,80
90,89,4,17
93,48,35,12
1,35,49,82
30,76,8,42
63,46,30,98
87,67,8,53
53,88,17,14
85,74,86,37
49,1,44,94
93,61,13,69
99,14,0,19
15,34,71,67
20,33,73,25
7,44,99,8
7,56,58,72
9,13,22,62
33,33,27,1
75,24,78,80
3,30,75,6
58,21,96,97
0,43,94,28
88,65,76,54
56,62,19,99
85,74,23,39
94,76,20,25
77,30,88,21
4,91,38,62
55,82,19,74
39,73,66,80
14,39,84,26
96,43,3,86
20,42,82,56
12,54,28,13
26,27,24,51
39,18,90,45
55,96,77,67
58,8,62,7
10,67,7,87
78,88,74,16
56,53,49,21
53,82,14,95
94,98,10,41
15,53,36,91
67,99,72,9
4,71,75,45
70,6,57,31
5,40,6,83
9,58,44,86
83,47,63,69
44,0,45,65
43,64,61,42
20,39,70,46
81,40,78,31
20,53,78,51
27,97,1,38
41,85,85,94
21,41,64,15
87,42,32,78
2,63,79,66
22,87,23,49
71,94,78,32
93,14,20,62
42,83,5,70
32,49,48,68
4,95,34,59
