WEATHER_DATE,weathercode,precipitation_sum,temperature_2m_max,temperature_2m_min,IS_RAIN
2026-08-01,53,2.2,32.8,26.1,True
2026-08-02,3,0.0,34.1,26.3,False
2026-08-03,51,0.1,37.2,25.3,True
2026-08-04,55,2.7,36.6,28.7,True
2026-08-05,61,5.7,37.5,26.8,True
2026-08-06,3,0.0,38.6,28.8,False
2026-08-07,51,0.6,38.4,29.4,True
2026-08-08,63,12.7,34.2,25.2,True
2026-08-09,51,0.2,32.7,23.8,True
2026-08-10,55,2.4,34.2,21.9,True
2026-08-11,3,0.0,33.6,23.3,False
2026-08-12,3,0.0,32.0,21.2,False
2026-08-13,51,0.9,32.3,22.4,True
2026-08-14,61,3.9,31.6,24.2,True
2026-08-15,63,14.2,27.3,23.6,True
2026-08-16,61,7.6,26.8,23.1,True
2026-08-17,63,11.7,28.9,23.1,True
2026-08-18,51,0.9,30.9,23.2,True
2026-08-19,53,0.7,30.0,23.7,True
2026-08-20,63,6.7,30.3,24.2,True
2026-08-21,63,29.0,27.2,22.3,True
2026-08-22,63,45.5,27.4,22.8,True
2026-08-23,63,9.2,32.1,22.5,True
2026-08-24,51,0.5,31.4,24.6,True
2026-08-25,63,9.7,31.2,24.2,True
2026-08-26,51,0.3,29.7,24.6,True
2026-08-27,61,3.8,30.5,24.5,True
2026-08-28,61,8.7,29.3,24.4,True
2026-08-29,53,2.1,29.7,24.2,True
2026-08-30,53,2.2,27.3,22.2,True
2026-08-31,65,52.7,25.0,22.8,True
2026-09-01,63,29.2,24.4,22.4,True
2026-09-02,51,0.3,28.0,21.9,True
