ORDER_ID,MENU_NAME,CATEGORY,PRICE,RATING,REGION,ORDER_DATE,WEATHER_DATE,weathercode,precipitation_sum,temperature_2m_max,temperature_2m_min,IS_RAIN
41,떡볶이,분식,8800,4.4,강남구,2026-08-23,2026-08-23,63,9.2,32.1,22.5,True
42,김밥,분식,5200,4.2,서초구,2026-08-23,2026-08-23,63,9.2,32.1,22.5,True
43,순대,분식,7200,4.0,송파구,2026-08-23,2026-08-23,63,9.2,32.1,22.5,True
44,돈까스,일식,11500,4.4,강남구,2026-08-23,2026-08-23,63,9.2,32.1,22.5,True
45,떡볶이,분식,9200,4.5,강남구,2026-08-24,2026-08-24,51,0.5,31.4,24.6,True
46,김밥,분식,5500,4.3,서초구,2026-08-24,2026-08-24,51,0.5,31.4,24.6,True
47,라면,분식,6000,4.1,송파구,2026-08-24,2026-08-24,51,0.5,31.4,24.6,True
48,초밥세트,일식,27500,4.7,서초구,2026-08-24,2026-08-24,51,0.5,31.4,24.6,True
49,우동,일식,8200,4.2,송파구,2026-08-25,2026-08-25,63,9.7,31.2,24.2,True
50,떡볶이,분식,8600,4.3,강남구,2026-08-25,2026-08-25,63,9.7,31.2,24.2,True
51,김밥,분식,5300,4.2,서초구,2026-08-25,2026-08-25,63,9.7,31.2,24.2,True
52,라멘,일식,11200,4.5,송파구,2026-08-25,2026-08-25,63,9.7,31.2,24.2,True
53,순대,분식,7000,4.1,강남구,2026-08-26,2026-08-26,51,0.3,29.7,24.6,True
54,떡볶이,분식,9000,4.4,서초구,2026-08-26,2026-08-26,51,0.3,29.7,24.6,True
55,돈까스,일식,11000,4.3,송파구,2026-08-26,2026-08-26,51,0.3,29.7,24.6,True
56,김밥,분식,5400,4.3,강남구,2026-08-27,2026-08-27,61,3.8,30.5,24.5,True
57,초밥세트,일식,28500,4.8,서초구,2026-08-27,2026-08-27,61,3.8,30.5,24.5,True
58,떡볶이,분식,8700,4.3,송파구,2026-08-27,2026-08-27,61,3.8,30.5,24.5,True
59,치킨,치킨,22500,4.7,강남구,2026-08-28,2026-08-28,61,8.7,29.3,24.4,True
60,양념치킨,치킨,23500,4.8,서초구,2026-08-28,2026-08-28,61,8.7,29.3,24.4,True
61,피자,피자,25500,4.3,송파구,2026-08-28,2026-08-28,61,8.7,29.3,24.4,True
62,반반치킨,치킨,22800,4.6,강남구,2026-08-29,2026-08-29,53,2.1,29.7,24.2,True
63,포테이토피자,피자,27500,4.5,서초구,2026-08-29,2026-08-29,53,2.1,29.7,24.2,True
64,치킨,치킨,22000,4.7,송파구,2026-08-29,2026-08-29,53,2.1,29.7,24.2,True
65,불고기피자,피자,26500,4.4,강남구,2026-08-30,2026-08-30,53,2.2,27.3,22.2,True
66,양념치킨,치킨,23800,4.9,서초구,2026-08-30,2026-08-30,53,2.2,27.3,22.2,True
67,피자,피자,25000,4.2,송파구,2026-08-30,2026-08-30,53,2.2,27.3,22.2,True
68,양념치킨,치킨,23200,4.7,강남구,2026-09-01,2026-09-01,63,29.2,24.4,22.4,True
69,치킨,치킨,22400,4.7,서초구,2026-09-02,2026-09-02,51,0.3,28.0,21.9,True
70,불고기피자,피자,26800,4.5,송파구,2026-09-02,2026-09-02,51,0.3,28.0,21.9,True
71,반반치킨,치킨,22900,4.8,강남구,2026-09-02,2026-09-02,51,0.3,28.0,21.9,True
35,짬뽕,중식,9500,4.3,송파구,2026-08-21,2026-08-21,63,29.0,27.2,22.3,True
36,우동,일식,8500,4.1,강남구,2026-08-22,2026-08-22,63,45.5,27.4,22.8,True
37,김밥,분식,5500,4.2,서초구,2026-08-22,2026-08-22,63,45.5,27.4,22.8,True
1,떡볶이,분식,9000,4.5,강남구,2026-08-01,2026-08-01,53,2.2,32.8,26.1,True
2,치킨,치킨,22000,4.8,서초구,2026-08-02,2026-08-02,3,0.0,34.1,26.3,False
3,피자,피자,25000,4.2,강남구,2026-08-03,2026-08-03,51,0.1,37.2,25.3,True
4,짜장면,중식,8000,4.0,송파구,2026-08-04,2026-08-04,55,2.7,36.6,28.7,True
5,마라탕,중식,13000,4.6,강남구,2026-08-05,2026-08-05,61,5.7,37.5,26.8,True
6,돈까스,일식,11000,4.3,서초구,2026-08-06,2026-08-06,3,0.0,38.6,28.8,False
7,탕수육,중식,18000,4.4,송파구,2026-08-07,2026-08-07,51,0.6,38.4,29.4,True
8,떡볶이,분식,8500,4.3,강남구,2026-08-08,2026-08-08,63,12.7,34.2,25.2,True
9,순대,분식,7000,4.1,서초구,2026-08-08,2026-08-08,63,12.7,34.2,25.2,True
10,치킨,치킨,21000,4.7,강남구,2026-08-09,2026-08-09,51,0.2,32.7,23.8,True
11,양념치킨,치킨,23000,4.9,송파구,2026-08-09,2026-08-09,51,0.2,32.7,23.8,True
